type,name,order,base_happiness,capture_rate,color,evolves_from_species,forms_switchable,generation,growth_rate,habitat,shape,%_female,% male,has_gender_differences,hatch_counter,egg_group1,egg_group2,is_baby,is_legendary,is_mythical,pal_park_encounters,varieties
igglybuff,igglybuff,41,50.0,170,pink,,False,2,fast,grassland,humanoid,75.0,25.0,False,10.0,no-eggs,,True,False,False,field,['igglybuff']
togepi,togepi,203,50.0,190,white,,False,2,fast,forest,humanoid,12.5,87.5,False,10.0,no-eggs,,True,False,False,field,['togepi']
togetic,togetic,204,50.0,75,white,togepi,False,2,fast,forest,humanoid,12.5,87.5,False,10.0,flying,fairy,False,False,False,field,['togetic']
natu,natu,206,50.0,190,green,,False,2,medium,forest,wings,50.0,50.0,False,20.0,flying,,False,False,False,forest,['natu']
xatu,xatu,207,50.0,75,green,natu,False,2,medium,forest,wings,50.0,50.0,True,20.0,flying,,False,False,False,forest,['xatu']
mareep,mareep,208,70.0,235,white,,False,2,medium-slow,grassland,quadruped,50.0,50.0,False,20.0,monster,ground,False,False,False,field,['mareep']
flaaffy,flaaffy,209,70.0,120,pink,mareep,False,2,medium-slow,grassland,upright,50.0,50.0,False,20.0,monster,ground,False,False,False,field,['flaaffy']
ampharos,ampharos,210,70.0,45,yellow,flaaffy,True,2,medium-slow,grassland,upright,50.0,50.0,False,20.0,monster,ground,False,False,False,field,"['ampharos', 'ampharos-mega']"
bellossom,bellossom,50,50.0,45,green,gloom,False,2,medium-slow,grassland,humanoid,50.0,50.0,False,20.0,plant,,False,False,False,forest,['bellossom']
marill,marill,212,50.0,190,blue,azurill,False,2,fast,waters-edge,upright,50.0,50.0,False,10.0,water1,fairy,False,False,False,pond,['marill']
azumarill,azumarill,213,50.0,75,blue,marill,False,2,fast,waters-edge,upright,50.0,50.0,False,10.0,water1,fairy,False,False,False,pond,['azumarill']
sudowoodo,sudowoodo,215,50.0,65,brown,bonsly,False,2,medium,forest,humanoid,50.0,50.0,True,20.0,mineral,,False,False,False,mountain,['sudowoodo']
politoed,politoed,68,50.0,45,green,poliwhirl,False,2,medium-slow,waters-edge,humanoid,50.0,50.0,True,20.0,water1,,False,False,False,pond,['politoed']
hoppip,hoppip,216,70.0,255,pink,,False,2,medium-slow,grassland,upright,50.0,50.0,False,20.0,fairy,plant,False,False,False,field,['hoppip']
skiploom,skiploom,217,70.0,120,green,hoppip,False,2,medium-slow,grassland,upright,50.0,50.0,False,20.0,fairy,plant,False,False,False,field,['skiploom']
jumpluff,jumpluff,218,70.0,45,blue,skiploom,False,2,medium-slow,grassland,upright,50.0,50.0,False,20.0,fairy,plant,False,False,False,field,['jumpluff']
aipom,aipom,219,70.0,45,purple,,False,2,fast,forest,upright,50.0,50.0,True,20.0,ground,,False,False,False,forest,['aipom']
sunkern,sunkern,221,70.0,235,yellow,,False,2,medium-slow,grassland,ball,50.0,50.0,False,20.0,plant,,False,False,False,field,['sunkern']
sunflora,sunflora,222,70.0,120,yellow,sunkern,False,2,medium-slow,grassland,humanoid,50.0,50.0,False,20.0,plant,,False,False,False,field,['sunflora']
yanma,yanma,223,70.0,75,red,,False,2,medium,forest,bug-wings,50.0,50.0,False,20.0,bug,,False,False,False,field,['yanma']
wooper,wooper,225,50.0,255,blue,,False,2,medium,waters-edge,legs,50.0,50.0,True,20.0,water1,ground,False,False,False,pond,"['wooper', 'wooper-paldea']"
quagsire,quagsire,226,50.0,90,blue,wooper,False,2,medium,waters-edge,upright,50.0,50.0,True,20.0,water1,ground,False,False,False,pond,['quagsire']
espeon,espeon,161,50.0,45,purple,eevee,False,2,medium,urban,quadruped,12.5,87.5,False,35.0,ground,,False,False,False,field,['espeon']
umbreon,umbreon,162,35.0,45,black,eevee,False,2,medium,urban,quadruped,12.5,87.5,False,35.0,ground,,False,False,False,field,['umbreon']
murkrow,murkrow,227,35.0,30,black,,False,2,medium-slow,forest,wings,50.0,50.0,True,20.0,flying,,False,False,False,forest,['murkrow']
slowking,slowking,87,50.0,70,pink,slowpoke,False,2,medium,waters-edge,upright,50.0,50.0,False,20.0,monster,water1,False,False,False,pond,"['slowking', 'slowking-galar']"
misdreavus,misdreavus,229,35.0,45,gray,,False,2,fast,cave,ball,50.0,50.0,False,25.0,indeterminate,,False,False,False,forest,['misdreavus']
unown,unown,231,70.0,225,black,,False,2,medium,rare,ball,0.0,0.0,False,40.0,no-eggs,,False,False,False,forest,['unown']
wobbuffet,wobbuffet,233,50.0,45,blue,wynaut,False,2,medium,cave,blob,50.0,50.0,True,20.0,indeterminate,,False,False,False,field,['wobbuffet']
girafarig,girafarig,234,70.0,60,yellow,,False,2,medium,grassland,quadruped,50.0,50.0,True,20.0,ground,,False,False,False,field,['girafarig']
pineco,pineco,235,70.0,190,gray,,False,2,medium,forest,ball,50.0,50.0,False,20.0,bug,,False,False,False,forest,['pineco']
forretress,forretress,236,70.0,75,purple,pineco,False,2,medium,forest,ball,50.0,50.0,False,20.0,bug,,False,False,False,forest,['forretress']
dunsparce,dunsparce,237,50.0,190,yellow,,False,2,medium,cave,squiggle,50.0,50.0,False,20.0,ground,,False,False,False,forest,['dunsparce']
gligar,gligar,238,70.0,60,purple,,False,2,medium-slow,mountain,wings,50.0,50.0,True,20.0,bug,,False,False,False,mountain,['gligar']
steelix,steelix,104,50.0,25,gray,onix,True,2,medium,cave,squiggle,50.0,50.0,True,25.0,mineral,,False,False,False,mountain,"['steelix', 'steelix-mega']"
snubbull,snubbull,240,70.0,190,pink,,False,2,fast,urban,humanoid,75.0,25.0,False,20.0,ground,fairy,False,False,False,field,['snubbull']
granbull,granbull,241,70.0,75,purple,snubbull,False,2,fast,urban,upright,75.0,25.0,False,20.0,ground,fairy,False,False,False,field,['granbull']
qwilfish,qwilfish,242,50.0,45,gray,,False,2,medium,sea,fish,50.0,50.0,False,20.0,water2,,False,False,False,sea,"['qwilfish', 'qwilfish-hisui']"
scizor,scizor,142,50.0,25,red,scyther,True,2,medium,grassland,bug-wings,50.0,50.0,True,25.0,bug,,False,False,False,field,"['scizor', 'scizor-mega']"
shuckle,shuckle,243,50.0,190,yellow,,False,2,medium-slow,mountain,armor,50.0,50.0,False,20.0,bug,,False,False,False,sea,['shuckle']
heracross,heracross,244,50.0,45,blue,,True,2,slow,forest,humanoid,50.0,50.0,True,25.0,bug,,False,False,False,forest,"['heracross', 'heracross-mega']"
sneasel,sneasel,245,35.0,60,black,,False,2,medium-slow,forest,upright,50.0,50.0,True,20.0,ground,,False,False,False,mountain,"['sneasel', 'sneasel-hisui']"
teddiursa,teddiursa,247,70.0,120,brown,,False,2,medium,mountain,upright,50.0,50.0,False,20.0,ground,,False,False,False,forest,['teddiursa']
ursaring,ursaring,248,70.0,60,brown,teddiursa,False,2,medium,mountain,upright,50.0,50.0,True,20.0,ground,,False,False,False,forest,['ursaring']
slugma,slugma,249,70.0,190,red,,False,2,medium,mountain,squiggle,50.0,50.0,False,20.0,indeterminate,,False,False,False,mountain,['slugma']
magcargo,magcargo,250,70.0,75,red,slugma,False,2,medium,mountain,squiggle,50.0,50.0,False,20.0,indeterminate,,False,False,False,mountain,['magcargo']
swinub,swinub,251,50.0,225,brown,,False,2,slow,cave,quadruped,50.0,50.0,False,20.0,ground,,False,False,False,mountain,['swinub']
piloswine,piloswine,252,50.0,75,brown,swinub,False,2,slow,cave,quadruped,50.0,50.0,True,20.0,ground,,False,False,False,mountain,['piloswine']
corsola,corsola,254,50.0,60,pink,,False,2,fast,sea,armor,75.0,25.0,False,20.0,water1,water3,False,False,False,sea,"['corsola', 'corsola-galar']"
remoraid,remoraid,255,50.0,190,gray,,False,2,medium,sea,fish,50.0,50.0,False,20.0,water1,water2,False,False,False,sea,['remoraid']
octillery,octillery,256,50.0,75,red,remoraid,False,2,medium,sea,tentacles,50.0,50.0,True,20.0,water1,water2,False,False,False,sea,['octillery']
delibird,delibird,257,50.0,45,red,,False,2,fast,mountain,wings,50.0,50.0,False,20.0,water1,ground,False,False,False,mountain,['delibird']
mantine,mantine,259,50.0,25,purple,mantyke,False,2,slow,sea,wings,50.0,50.0,False,25.0,water1,,False,False,False,sea,['mantine']
skarmory,skarmory,260,50.0,25,gray,,False,2,slow,rough-terrain,wings,50.0,50.0,False,25.0,flying,,False,False,False,mountain,['skarmory']
houndour,houndour,261,35.0,120,black,,False,2,slow,rough-terrain,quadruped,50.0,50.0,False,20.0,ground,,False,False,False,mountain,['houndour']
houndoom,houndoom,262,35.0,45,black,houndour,True,2,slow,rough-terrain,quadruped,50.0,50.0,True,20.0,ground,,False,False,False,mountain,"['houndoom', 'houndoom-mega']"
kingdra,kingdra,134,50.0,45,blue,seadra,False,2,medium,sea,blob,50.0,50.0,False,20.0,water1,dragon,False,False,False,sea,['kingdra']
phanpy,phanpy,263,70.0,120,blue,,False,2,medium,rough-terrain,quadruped,50.0,50.0,False,20.0,ground,,False,False,False,mountain,['phanpy']
donphan,donphan,264,70.0,60,gray,phanpy,False,2,medium,rough-terrain,quadruped,50.0,50.0,True,20.0,ground,,False,False,False,mountain,['donphan']
porygon2,porygon2,167,50.0,45,red,porygon,False,2,medium,urban,legs,0.0,0.0,False,20.0,mineral,,False,False,False,field,['porygon2']
stantler,stantler,265,70.0,45,brown,,False,2,slow,forest,quadruped,50.0,50.0,False,20.0,ground,,False,False,False,field,['stantler']
smeargle,smeargle,266,70.0,45,white,,False,2,fast,urban,upright,50.0,50.0,False,20.0,ground,,False,False,False,field,['smeargle']
tyrogue,tyrogue,115,50.0,75,purple,,False,2,medium,urban,humanoid,0.0,100.0,False,25.0,no-eggs,,True,False,False,mountain,['tyrogue']
hitmontop,hitmontop,118,50.0,45,brown,tyrogue,False,2,medium,urban,upright,0.0,100.0,False,25.0,humanshape,,False,False,False,mountain,['hitmontop']
smoochum,smoochum,143,50.0,45,pink,,False,2,medium,urban,humanoid,100.0,0.0,False,25.0,no-eggs,,True,False,False,field,['smoochum']
elekid,elekid,145,50.0,45,yellow,,False,2,medium,grassland,humanoid,25.0,75.0,False,25.0,no-eggs,,True,False,False,mountain,['elekid']
magby,magby,148,50.0,45,red,,False,2,medium,mountain,upright,25.0,75.0,False,25.0,no-eggs,,True,False,False,mountain,['magby']
miltank,miltank,267,50.0,45,pink,,False,2,slow,grassland,upright,100.0,0.0,False,20.0,ground,,False,False,False,field,['miltank']
blissey,blissey,128,140.0,30,pink,chansey,False,2,fast,urban,humanoid,100.0,0.0,False,40.0,fairy,,False,False,False,field,['blissey']
raikou,raikou,268,35.0,3,yellow,,False,2,slow,grassland,quadruped,0.0,0.0,False,80.0,no-eggs,,False,True,False,mountain,['raikou']
entei,entei,269,35.0,3,brown,,False,2,slow,grassland,quadruped,0.0,0.0,False,80.0,no-eggs,,False,True,False,mountain,['entei']
suicune,suicune,270,35.0,3,blue,,False,2,slow,grassland,quadruped,0.0,0.0,False,80.0,no-eggs,,False,True,False,mountain,['suicune']
larvitar,larvitar,271,35.0,45,green,,False,2,slow,mountain,upright,50.0,50.0,False,40.0,monster,,False,False,False,mountain,['larvitar']
pupitar,pupitar,272,35.0,45,gray,larvitar,False,2,slow,mountain,squiggle,50.0,50.0,False,40.0,monster,,False,False,False,mountain,['pupitar']
tyranitar,tyranitar,273,35.0,45,green,pupitar,True,2,slow,mountain,upright,50.0,50.0,False,40.0,monster,,False,False,False,mountain,"['tyranitar', 'tyranitar-mega']"
lugia,lugia,274,0.0,3,white,,False,2,slow,rare,wings,0.0,0.0,False,120.0,no-eggs,,False,True,False,mountain,['lugia']
ho-oh,ho-oh,275,0.0,3,red,,False,2,slow,rare,wings,0.0,0.0,False,120.0,no-eggs,,False,True,False,mountain,['ho-oh']
celebi,celebi,276,100.0,45,green,,False,2,medium-slow,forest,humanoid,0.0,0.0,False,120.0,no-eggs,,False,False,True,forest,['celebi']
treecko,treecko,277,50.0,45,green,,False,3,medium-slow,forest,upright,12.5,87.5,False,20.0,monster,dragon,False,False,False,forest,['treecko']
grovyle,grovyle,278,50.0,45,green,treecko,False,3,medium-slow,forest,upright,12.5,87.5,False,20.0,monster,dragon,False,False,False,forest,['grovyle']
sceptile,sceptile,279,50.0,45,green,grovyle,True,3,medium-slow,forest,upright,12.5,87.5,False,20.0,monster,dragon,False,False,False,forest,"['sceptile', 'sceptile-mega']"
torchic,torchic,280,50.0,45,red,,False,3,medium-slow,grassland,legs,12.5,87.5,True,20.0,ground,,False,False,False,field,['torchic']
combusken,combusken,281,50.0,45,red,torchic,False,3,medium-slow,grassland,upright,12.5,87.5,True,20.0,ground,,False,False,False,field,['combusken']
blaziken,blaziken,282,50.0,45,red,combusken,True,3,medium-slow,grassland,upright,12.5,87.5,True,20.0,ground,,False,False,False,field,"['blaziken', 'blaziken-mega']"
mudkip,mudkip,283,50.0,45,blue,,False,3,medium-slow,waters-edge,quadruped,12.5,87.5,False,20.0,monster,water1,False,False,False,pond,['mudkip']
marshtomp,marshtomp,284,50.0,45,blue,mudkip,False,3,medium-slow,waters-edge,upright,12.5,87.5,False,20.0,monster,water1,False,False,False,pond,['marshtomp']
swampert,swampert,285,50.0,45,blue,marshtomp,True,3,medium-slow,waters-edge,upright,12.5,87.5,False,20.0,monster,water1,False,False,False,pond,"['swampert', 'swampert-mega']"
poochyena,poochyena,286,70.0,255,gray,,False,3,medium,grassland,quadruped,50.0,50.0,False,15.0,ground,,False,False,False,field,['poochyena']
mightyena,mightyena,287,70.0,127,gray,poochyena,False,3,medium,grassland,quadruped,50.0,50.0,False,15.0,ground,,False,False,False,field,['mightyena']
zigzagoon,zigzagoon,288,50.0,255,brown,,False,3,medium,grassland,quadruped,50.0,50.0,False,15.0,ground,,False,False,False,field,"['zigzagoon', 'zigzagoon-galar']"
linoone,linoone,289,50.0,90,white,zigzagoon,False,3,medium,grassland,quadruped,50.0,50.0,False,15.0,ground,,False,False,False,field,"['linoone', 'linoone-galar']"
wurmple,wurmple,290,70.0,255,red,,False,3,medium,forest,armor,50.0,50.0,False,15.0,bug,,False,False,False,forest,['wurmple']
silcoon,silcoon,291,70.0,120,white,wurmple,False,3,medium,forest,ball,50.0,50.0,False,15.0,bug,,False,False,False,forest,['silcoon']
beautifly,beautifly,292,70.0,45,yellow,silcoon,False,3,medium,forest,bug-wings,50.0,50.0,True,15.0,bug,,False,False,False,forest,['beautifly']
cascoon,cascoon,293,70.0,120,purple,wurmple,False,3,medium,forest,ball,50.0,50.0,False,15.0,bug,,False,False,False,forest,['cascoon']
dustox,dustox,294,70.0,45,green,cascoon,False,3,medium,forest,bug-wings,50.0,50.0,True,15.0,bug,,False,False,False,forest,['dustox']
lotad,lotad,295,50.0,255,green,,False,3,medium-slow,waters-edge,armor,50.0,50.0,False,15.0,water1,plant,False,False,False,pond,['lotad']
lombre,lombre,296,50.0,120,green,lotad,False,3,medium-slow,waters-edge,humanoid,50.0,50.0,False,15.0,water1,plant,False,False,False,pond,['lombre']
ludicolo,ludicolo,297,50.0,45,green,lombre,False,3,medium-slow,waters-edge,humanoid,50.0,50.0,True,15.0,water1,plant,False,False,False,pond,['ludicolo']
seedot,seedot,298,50.0,255,brown,,False,3,medium-slow,forest,legs,50.0,50.0,False,15.0,ground,plant,False,False,False,forest,['seedot']
nuzleaf,nuzleaf,299,50.0,120,brown,seedot,False,3,medium-slow,forest,humanoid,50.0,50.0,True,15.0,ground,plant,False,False,False,forest,['nuzleaf']
shiftry,shiftry,300,50.0,45,brown,nuzleaf,False,3,medium-slow,forest,humanoid,50.0,50.0,True,15.0,ground,plant,False,False,False,forest,['shiftry']
taillow,taillow,301,70.0,200,blue,,False,3,medium-slow,grassland,wings,50.0,50.0,False,15.0,flying,,False,False,False,field,['taillow']
swellow,swellow,302,70.0,45,blue,taillow,False,3,medium-slow,grassland,wings,50.0,50.0,False,15.0,flying,,False,False,False,field,['swellow']
wingull,wingull,303,50.0,190,white,,False,3,medium,sea,wings,50.0,50.0,False,20.0,water1,flying,False,False,False,sea,['wingull']
pelipper,pelipper,304,50.0,45,yellow,wingull,False,3,medium,sea,wings,50.0,50.0,False,20.0,water1,flying,False,False,False,sea,['pelipper']
ralts,ralts,305,35.0,235,white,,False,3,slow,urban,humanoid,50.0,50.0,False,20.0,humanshape,indeterminate,False,False,False,field,['ralts']
kirlia,kirlia,306,35.0,120,white,ralts,False,3,slow,urban,humanoid,50.0,50.0,False,20.0,humanshape,indeterminate,False,False,False,field,['kirlia']
gardevoir,gardevoir,307,35.0,45,white,kirlia,True,3,slow,urban,humanoid,50.0,50.0,False,20.0,humanshape,indeterminate,False,False,False,field,"['gardevoir', 'gardevoir-mega']"
surskit,surskit,309,70.0,200,blue,,False,3,medium,waters-edge,armor,50.0,50.0,False,15.0,water1,bug,False,False,False,pond,['surskit']
masquerain,masquerain,310,70.0,75,blue,surskit,False,3,medium,waters-edge,bug-wings,50.0,50.0,False,15.0,water1,bug,False,False,False,pond,['masquerain']
shroomish,shroomish,311,70.0,255,brown,,False,3,fast-then-very-slow,forest,legs,50.0,50.0,False,15.0,fairy,plant,False,False,False,forest,['shroomish']
breloom,breloom,312,70.0,90,green,shroomish,False,3,fast-then-very-slow,forest,upright,50.0,50.0,False,15.0,fairy,plant,False,False,False,forest,['breloom']
slakoth,slakoth,313,70.0,255,brown,,False,3,slow,forest,quadruped,50.0,50.0,False,15.0,ground,,False,False,False,forest,['slakoth']
vigoroth,vigoroth,314,70.0,120,white,slakoth,False,3,slow,forest,upright,50.0,50.0,False,15.0,ground,,False,False,False,forest,['vigoroth']
slaking,slaking,315,70.0,45,brown,vigoroth,False,3,slow,forest,humanoid,50.0,50.0,False,15.0,ground,,False,False,False,forest,['slaking']
nincada,nincada,316,50.0,255,gray,,False,3,slow-then-very-fast,forest,armor,50.0,50.0,False,15.0,bug,,False,False,False,forest,['nincada']
ninjask,ninjask,317,50.0,120,yellow,nincada,False,3,slow-then-very-fast,forest,bug-wings,50.0,50.0,False,15.0,bug,,False,False,False,forest,['ninjask']
shedinja,shedinja,318,50.0,45,brown,nincada,False,3,slow-then-very-fast,forest,blob,0.0,0.0,False,15.0,mineral,,False,False,False,forest,['shedinja']
whismur,whismur,319,50.0,190,pink,,False,3,medium-slow,cave,upright,50.0,50.0,False,20.0,monster,ground,False,False,False,mountain,['whismur']
loudred,loudred,320,50.0,120,blue,whismur,False,3,medium-slow,cave,upright,50.0,50.0,False,20.0,monster,ground,False,False,False,mountain,['loudred']
exploud,exploud,321,50.0,45,blue,loudred,False,3,medium-slow,cave,upright,50.0,50.0,False,20.0,monster,ground,False,False,False,mountain,['exploud']
makuhita,makuhita,322,70.0,180,yellow,,False,3,fast-then-very-slow,mountain,humanoid,25.0,75.0,False,20.0,humanshape,,False,False,False,mountain,['makuhita']
hariyama,hariyama,323,70.0,200,brown,makuhita,False,3,fast-then-very-slow,mountain,humanoid,25.0,75.0,False,20.0,humanshape,,False,False,False,mountain,['hariyama']
azurill,azurill,211,50.0,150,blue,,False,3,fast,waters-edge,legs,75.0,25.0,False,10.0,no-eggs,,True,False,False,pond,['azurill']
nosepass,nosepass,324,70.0,255,gray,,False,3,medium,cave,humanoid,50.0,50.0,False,20.0,mineral,,False,False,False,mountain,['nosepass']
skitty,skitty,326,70.0,255,pink,,False,3,fast,forest,quadruped,75.0,25.0,False,15.0,ground,fairy,False,False,False,field,['skitty']
delcatty,delcatty,327,70.0,60,purple,skitty,False,3,fast,forest,quadruped,75.0,25.0,False,15.0,ground,fairy,False,False,False,field,['delcatty']
sableye,sableye,328,35.0,45,purple,,True,3,medium-slow,cave,humanoid,50.0,50.0,False,25.0,humanshape,,False,False,False,mountain,"['sableye', 'sableye-mega']"
mawile,mawile,329,50.0,45,black,,True,3,fast,cave,humanoid,50.0,50.0,False,20.0,ground,fairy,False,False,False,mountain,"['mawile', 'mawile-mega']"
aron,aron,330,35.0,180,gray,,False,3,slow,mountain,quadruped,50.0,50.0,False,35.0,monster,,False,False,False,mountain,['aron']
lairon,lairon,331,35.0,90,gray,aron,False,3,slow,mountain,quadruped,50.0,50.0,False,35.0,monster,,False,False,False,mountain,['lairon']
aggron,aggron,332,35.0,45,gray,lairon,True,3,slow,mountain,upright,50.0,50.0,False,35.0,monster,,False,False,False,mountain,"['aggron', 'aggron-mega']"
meditite,meditite,333,70.0,180,blue,,False,3,medium,mountain,humanoid,50.0,50.0,True,20.0,humanshape,,False,False,False,mountain,['meditite']
medicham,medicham,334,70.0,90,red,meditite,True,3,medium,mountain,humanoid,50.0,50.0,True,20.0,humanshape,,False,False,False,mountain,"['medicham', 'medicham-mega']"
electrike,electrike,335,50.0,120,green,,False,3,slow,grassland,quadruped,50.0,50.0,False,20.0,ground,,False,False,False,field,['electrike']
manectric,manectric,336,50.0,45,yellow,electrike,True,3,slow,grassland,quadruped,50.0,50.0,False,20.0,ground,,False,False,False,field,"['manectric', 'manectric-mega']"
plusle,plusle,337,70.0,200,yellow,,False,3,medium,grassland,upright,50.0,50.0,False,20.0,fairy,,False,False,False,field,['plusle']
minun,minun,338,70.0,200,yellow,,False,3,medium,grassland,upright,50.0,50.0,False,20.0,fairy,,False,False,False,field,['minun']
volbeat,volbeat,339,70.0,150,gray,,False,3,slow-then-very-fast,forest,upright,0.0,100.0,False,15.0,bug,humanshape,False,False,False,mountain,['volbeat']
illumise,illumise,340,70.0,150,purple,,False,3,fast-then-very-slow,forest,humanoid,100.0,0.0,False,15.0,bug,humanshape,False,False,False,mountain,['illumise']
roselia,roselia,342,50.0,150,green,budew,False,3,medium-slow,grassland,humanoid,50.0,50.0,True,20.0,fairy,plant,False,False,False,field,['roselia']
gulpin,gulpin,344,70.0,225,green,,False,3,fast-then-very-slow,grassland,arms,50.0,50.0,True,20.0,indeterminate,,False,False,False,forest,['gulpin']
swalot,swalot,345,70.0,75,purple,gulpin,False,3,fast-then-very-slow,grassland,arms,50.0,50.0,True,20.0,indeterminate,,False,False,False,forest,['swalot']
carvanha,carvanha,346,35.0,225,red,,False,3,slow,sea,fish,50.0,50.0,False,20.0,water2,,False,False,False,sea,['carvanha']
sharpedo,sharpedo,347,35.0,60,blue,carvanha,True,3,slow,sea,fish,50.0,50.0,False,20.0,water2,,False,False,False,sea,"['sharpedo', 'sharpedo-mega']"
wailmer,wailmer,348,50.0,125,blue,,False,3,fast-then-very-slow,sea,fish,50.0,50.0,False,40.0,ground,water2,False,False,False,sea,['wailmer']
wailord,wailord,349,50.0,60,blue,wailmer,False,3,fast-then-very-slow,sea,fish,50.0,50.0,False,40.0,ground,water2,False,False,False,sea,['wailord']
numel,numel,350,70.0,255,yellow,,False,3,medium,mountain,quadruped,50.0,50.0,True,20.0,ground,,False,False,False,mountain,['numel']
camerupt,camerupt,351,70.0,150,red,numel,True,3,medium,mountain,quadruped,50.0,50.0,True,20.0,ground,,False,False,False,mountain,"['camerupt', 'camerupt-mega']"
torkoal,torkoal,352,50.0,90,brown,,False,3,medium,mountain,quadruped,50.0,50.0,False,20.0,ground,,False,False,False,mountain,['torkoal']
spoink,spoink,353,70.0,255,black,,False,3,fast,mountain,arms,50.0,50.0,False,20.0,ground,,False,False,False,field,['spoink']
grumpig,grumpig,354,70.0,60,purple,spoink,False,3,fast,mountain,upright,50.0,50.0,False,20.0,ground,,False,False,False,field,['grumpig']
spinda,spinda,355,70.0,255,brown,,False,3,fast,mountain,upright,50.0,50.0,False,15.0,ground,humanshape,False,False,False,field,['spinda']
trapinch,trapinch,356,50.0,255,brown,,False,3,medium-slow,rough-terrain,armor,50.0,50.0,False,20.0,bug,dragon,False,False,False,mountain,['trapinch']
vibrava,vibrava,357,50.0,120,green,trapinch,False,3,medium-slow,rough-terrain,bug-wings,50.0,50.0,False,20.0,bug,dragon,False,False,False,mountain,['vibrava']
flygon,flygon,358,50.0,45,green,vibrava,False,3,medium-slow,rough-terrain,wings,50.0,50.0,False,20.0,bug,dragon,False,False,False,mountain,['flygon']
cacnea,cacnea,359,35.0,190,green,,False,3,medium-slow,rough-terrain,humanoid,50.0,50.0,False,20.0,plant,humanshape,False,False,False,mountain,['cacnea']
cacturne,cacturne,360,35.0,60,green,cacnea,False,3,medium-slow,rough-terrain,humanoid,50.0,50.0,True,20.0,plant,humanshape,False,False,False,mountain,['cacturne']
swablu,swablu,361,50.0,255,blue,,False,3,slow-then-very-fast,forest,wings,50.0,50.0,False,20.0,flying,dragon,False,False,False,field,['swablu']
altaria,altaria,362,50.0,45,blue,swablu,True,3,slow-then-very-fast,forest,wings,50.0,50.0,False,20.0,flying,dragon,False,False,False,field,"['altaria', 'altaria-mega']"
zangoose,zangoose,363,70.0,90,white,,False,3,slow-then-very-fast,grassland,upright,50.0,50.0,False,20.0,ground,,False,False,False,field,['zangoose']
seviper,seviper,364,70.0,90,black,,False,3,fast-then-very-slow,grassland,squiggle,50.0,50.0,False,20.0,ground,dragon,False,False,False,forest,['seviper']
lunatone,lunatone,365,50.0,45,yellow,,False,3,fast,cave,ball,0.0,0.0,False,25.0,mineral,,False,False,False,mountain,['lunatone']
solrock,solrock,366,50.0,45,red,,False,3,fast,cave,ball,0.0,0.0,False,25.0,mineral,,False,False,False,mountain,['solrock']
barboach,barboach,367,50.0,190,gray,,False,3,medium,waters-edge,fish,50.0,50.0,False,20.0,water2,,False,False,False,pond,['barboach']
whiscash,whiscash,368,50.0,75,blue,barboach,False,3,medium,waters-edge,fish,50.0,50.0,False,20.0,water2,,False,False,False,pond,['whiscash']
corphish,corphish,369,50.0,205,red,,False,3,fast-then-very-slow,waters-edge,armor,50.0,50.0,False,15.0,water1,water3,False,False,False,pond,['corphish']
crawdaunt,crawdaunt,370,50.0,155,red,corphish,False,3,fast-then-very-slow,waters-edge,armor,50.0,50.0,False,15.0,water1,water3,False,False,False,pond,['crawdaunt']
baltoy,baltoy,371,50.0,255,brown,,False,3,medium,rough-terrain,arms,0.0,0.0,False,20.0,mineral,,False,False,False,mountain,['baltoy']
claydol,claydol,372,50.0,90,black,baltoy,False,3,medium,rough-terrain,arms,0.0,0.0,False,20.0,mineral,,False,False,False,mountain,['claydol']
lileep,lileep,373,50.0,45,purple,,False,3,slow-then-very-fast,sea,blob,12.5,87.5,False,30.0,water3,,False,False,False,sea,['lileep']
cradily,cradily,374,50.0,45,green,lileep,False,3,slow-then-very-fast,sea,blob,12.5,87.5,False,30.0,water3,,False,False,False,sea,['cradily']
anorith,anorith,375,50.0,45,gray,,False,3,slow-then-very-fast,waters-edge,armor,12.5,87.5,False,30.0,water3,,False,False,False,sea,['anorith']
armaldo,armaldo,376,50.0,45,gray,anorith,False,3,slow-then-very-fast,waters-edge,upright,12.5,87.5,False,30.0,water3,,False,False,False,sea,['armaldo']
feebas,feebas,377,50.0,255,brown,,False,3,slow-then-very-fast,waters-edge,fish,50.0,50.0,False,20.0,water1,dragon,False,False,False,sea,['feebas']
milotic,milotic,378,50.0,60,pink,feebas,False,3,slow-then-very-fast,waters-edge,squiggle,50.0,50.0,True,20.0,water1,dragon,False,False,False,sea,['milotic']
castform,castform,379,70.0,45,gray,,True,3,medium,grassland,ball,50.0,50.0,False,25.0,fairy,indeterminate,False,False,False,field,"['castform', 'castform-sunny', 'castform-rainy', 'castform-snowy']"
kecleon,kecleon,380,70.0,200,green,,False,3,medium-slow,forest,upright,50.0,50.0,False,20.0,ground,,False,False,False,forest,['kecleon']
shuppet,shuppet,381,35.0,225,black,,False,3,fast,urban,ball,50.0,50.0,False,25.0,indeterminate,,False,False,False,forest,['shuppet']
banette,banette,382,35.0,45,black,shuppet,True,3,fast,urban,upright,50.0,50.0,False,25.0,indeterminate,,False,False,False,forest,"['banette', 'banette-mega']"
duskull,duskull,383,35.0,190,black,,False,3,fast,forest,arms,50.0,50.0,False,25.0,indeterminate,,False,False,False,forest,['duskull']
